#csv_version,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#measurement,"{""schema_version"":""1.0.0"",""appPlatform"":""desktop"",""appVersion"":""1.5.0"",""owner"":{""first_name"":""Cornelia"",""last_name"":""Hinz""},""data"":{""id"":17027,""name"":""10_1_2024_Ferro Sanol_50 Prozent_3_1_neue Firmware"",""measurement_type"":""take a smell"",""started_at"":""2024-01-10T10:24:55.372Z"",""stopped_at"":""2024-01-10T10:51:35.120Z"",""connection_type"":""usb"",""measurement_size"":""322"",""measurement_duration"":1599,""fan_state"":3,""comment"":null,""device_info"":{""id"":704,""mac_address"":""10:97:bd:36:ec:fc"",""serial_number"":""SI2205-1312"",""board_id"":null,""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1"",""is_contain_sensor_board"":false},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""board_info"":null,""detectors_info"":[{""id"":2230,""detector_position"":""X1"",""detector"":{""id"":2776,""batch_id"":""0000018"",""slot_id"":""04"",""production_detector_id"":""00124"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2231,""detector_position"":""X2"",""detector"":{""id"":2777,""batch_id"":""0000019"",""slot_id"":""04"",""production_detector_id"":""00006"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2232,""detector_position"":""X3"",""detector"":{""id"":2778,""batch_id"":""0000020"",""slot_id"":""02"",""production_detector_id"":""00183"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2233,""detector_position"":""X4"",""detector"":{""id"":2779,""batch_id"":""0000021"",""slot_id"":""02"",""production_detector_id"":""00230"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":3014,""category"":null,""is_public"":false,""name"":""Ferro Sanol"",""odor_name"":null,""taste_name"":null,""additional_information"":""Angesetzt am 19.12.2023"",""parent_substance_id"":null,""parent_substance"":null},""concentration_value"":50,""concentration_unit"":""%"",""state"":null}],""measurement_events"":[{""event_name"":""Start Ex"",""graph_x_position"":""2024-01-10T10:35:23.000Z"",""graph_y_position"":-0.8231853991349404},{""event_name"":""Stop Ex"",""graph_x_position"":""2024-01-10T10:41:09.000Z"",""graph_y_position"":-0.46371365728436603}],""measurement_setup_info"":null}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fan_level,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#baseLevel|2024-01-10T10:25:01.544Z,11649.3,11651.2,3220.9,3218.8,3218.9,1475.7,1475.7,1475.9,3912.8,3913.1,3912.6,4337.3,4338.8,4337.1,5182.8,5182.4,6657.9,6657.8,1587.5,1586.7,1587.1,563.7,563.8,564.0,3704.5,3705.0,3705.3,4223.0,4220.7,4220.6,12549.4,12547.8,41153.3,41149.4,4301.8,4301.6,4301.6,1595.6,1595.6,1596.2,2870.1,2869.4,2869.6,5178.6,5178.8,5183.0,24109.5,24112.5,6225.6,6225.7,697.8,697.5,697.6,1561.8,1561.8,1562.5,2671.0,2670.6,2670.9,1562.8,1562.8,1563.3,10746.9,10748.2,12.360000,27.410000
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2024-01-10T10:25:01.544Z,11649.3,11651.2,3220.9,3218.8,3218.9,1475.7,1475.7,1475.9,3912.8,3913.1,3912.6,4337.3,4338.8,4337.1,5182.8,5182.4,6657.9,6657.8,1587.5,1586.7,1587.1,563.7,563.8,564.0,3704.5,3705.0,3705.3,4223.0,4220.7,4220.6,12549.4,12547.8,41153.3,41149.4,4301.8,4301.6,4301.6,1595.6,1595.6,1596.2,2870.1,2869.4,2869.6,5178.6,5178.8,5183.0,24109.5,24112.5,6225.6,6225.7,697.8,697.5,697.6,1561.8,1561.8,1562.5,2671.0,2670.6,2670.9,1562.8,1562.8,1563.3,10746.9,10748.2,12.360000,27.410000
2024-01-10T10:25:04.014Z,11648.5,11646.9,3219.7,3217.8,3219.9,1475.7,1475.7,1475.8,3912.9,3912.9,3912.9,4338.4,4337.7,4337.7,5182.2,5182.1,6656.2,6656.4,1587.2,1586.7,1587.0,563.7,563.9,564.0,3704.4,3704.6,3704.5,4221.6,4219.5,4218.7,12549.4,12548.4,41151.6,41152.3,4301.6,4301.2,4301.4,1595.9,1595.9,1596.1,2870.5,2870.1,2870.1,5183.4,5182.0,5182.5,24031.3,24032.5,6224.8,6225.5,697.9,697.6,697.8,1561.9,1561.9,1562.4,2671.4,2670.9,2671.4,1562.4,1562.4,1563.8,10747.3,10746.8,12.300000,27.379999
2024-01-10T10:25:06.484Z,11647.7,11646.2,3220.2,3220.3,3221.2,1475.8,1475.7,1476.0,3912.4,3912.8,3913.1,4336.5,4335.5,4336.7,5182.1,5181.5,6656.7,6656.9,1587.4,1586.8,1587.0,563.7,563.8,564.0,3706.0,3705.6,3705.1,4221.7,4218.6,4219.7,12547.0,12545.4,41151.7,41158.1,4301.1,4300.3,4300.3,1596.2,1595.8,1596.1,2871.1,2870.7,2870.9,5182.9,5183.2,5182.5,24075.9,24009.8,6225.7,6224.0,698.0,697.5,697.7,1561.9,1561.7,1562.4,2671.4,2670.2,2671.1,1562.4,1562.6,1563.3,10749.8,10747.6,12.340000,27.389999
2024-01-10T10:25:08.954Z,11649.4,11651.2,3221.3,3221.3,3221.0,1475.5,1475.7,1475.9,3912.8,3913.1,3913.3,4336.8,4335.7,4337.3,5182.0,5181.8,6656.7,6656.6,1587.1,1586.7,1586.9,563.7,563.8,564.0,3704.8,3705.9,3705.7,4222.3,4219.3,4219.0,12546.6,12547.8,41157.6,41153.4,4301.2,4300.9,4301.0,1595.9,1596.4,1597.0,2870.7,2869.9,2870.3,5182.0,5182.7,5180.5,24013.2,24078.5,6224.9,6224.7,697.8,697.5,697.6,1561.9,1561.9,1562.4,2670.1,2670.5,2670.3,1562.0,1562.1,1562.3,10746.0,10750.4,12.300000,27.420000
2024-01-10T10:25:11.424Z,11647.2,11648.8,3220.9,3219.9,3219.5,1475.5,1475.4,1475.5,3912.7,3912.8,3912.8,4336.3,4335.9,4337.7,5182.5,5182.1,6656.2,6655.4,1587.4,1586.6,1586.8,563.7,563.8,564.1,3705.0,3705.1,3705.7,4220.6,4217.9,4218.2,12547.3,12547.8,41148.6,41144.8,4301.2,4301.1,4301.3,1596.0,1595.9,1596.1,2869.9,2869.9,2869.7,5184.9,5185.4,5183.5,24078.7,24081.2,6224.7,6224.1,697.9,697.5,697.8,1561.5,1561.5,1562.0,2671.1,2670.7,2671.1,1562.3,1561.6,1562.8,10746.4,10746.4,12.310000,27.420000
2024-01-10T10:25:13.908Z,11648.9,11648.5,3222.0,3221.4,3221.9,1475.7,1475.2,1475.6,3912.6,3912.4,3912.3,4335.8,4335.4,4337.2,5181.6,5181.9,6656.7,6656.7,1587.1,1586.6,1586.9,563.7,563.8,564.1,3704.0,3704.4,3704.8,4221.1,4218.2,4218.6,12547.8,12547.5,41144.4,41144.1,4300.8,4300.2,4300.9,1595.6,1595.5,1595.9,2870.8,2870.4,2870.8,5182.6,5180.0,5181.7,24084.9,24083.1,6224.0,6225.0,697.7,697.5,697.8,1561.7,1561.5,1562.0,2671.2,2670.3,2670.6,1562.3,1562.1,1563.2,10746.3,10746.9,12.340000,27.420000
2024-01-10T10:25:16.369Z,11649.4,11648.7,3221.1,3219.9,3220.6,1475.3,1475.4,1475.4,3912.8,3912.8,3912.4,4337.0,4336.9,4337.9,5181.7,5181.7,6657.1,6656.4,1587.4,1586.8,1587.1,563.7,563.8,564.1,3704.9,3705.6,3706.0,4221.6,4218.6,4218.2,12549.2,12548.5,41144.5,41139.4,4300.3,4300.6,4300.4,1595.8,1595.8,1595.9,2870.8,2870.3,2870.6,5188.0,5183.8,5184.9,24062.6,24073.0,6224.7,6224.0,697.8,697.6,697.7,1561.4,1561.6,1562.0,2671.5,2671.1,2670.9,1562.1,1561.7,1562.7,10749.1,10751.1,12.280000,27.410000
2024-01-10T10:25:18.834Z,11645.5,11645.5,3221.2,3220.7,3220.3,1475.0,1475.2,1475.4,3912.7,3912.5,3912.7,4335.7,4334.4,4333.7,5182.0,5181.4,6657.0,6656.2,1587.2,1586.7,1587.0,563.7,563.8,564.1,3704.8,3704.8,3705.5,4220.0,4219.0,4218.2,12546.5,12546.0,41139.2,41139.7,4301.1,4301.0,4300.7,1595.8,1595.7,1596.2,2870.3,2869.8,2870.4,5185.4,5183.8,5183.4,24082.5,24075.8,6225.4,6223.7,697.8,697.6,697.8,1561.3,1561.3,1561.8,2671.2,2671.1,2671.4,1562.4,1562.2,1563.2,10745.8,10746.3,12.330000,27.410000
2024-01-10T10:25:21.304Z,11645.1,11644.1,3221.4,3221.3,3221.2,1475.7,1475.9,1475.8,3912.9,3912.7,3912.5,4333.6,4335.0,4336.7,5181.5,5181.9,6657.2,6657.2,1587.2,1586.6,1587.0,563.7,563.8,564.1,3704.5,3704.5,3704.3,4222.6,4219.3,4218.9,12548.5,12545.8,41151.0,41145.3,4301.3,4301.0,4300.6,1596.1,1596.1,1596.5,2870.8,2870.2,2870.4,5184.0,5183.1,5182.3,24080.2,24109.1,6225.2,6224.2,697.8,697.6,697.7,1561.2,1561.4,1561.8,2670.3,2670.4,2670.1,1561.9,1562.4,1563.5,10745.1,10748.2,12.330000,27.410000
2024-01-10T10:25:23.785Z,11643.9,11644.4,3222.7,3220.9,3221.1,1475.1,1475.4,1475.7,3912.8,3912.6,3912.7,4333.2,4333.5,4332.9,5181.8,5181.6,6656.3,6656.4,1587.1,1586.6,1586.8,563.7,563.8,564.0,3703.7,3705.2,3706.0,4220.0,4217.7,4218.4,12548.4,12547.4,41147.1,41146.0,4300.6,4300.3,4300.3,1595.6,1596.0,1596.5,2869.9,2870.1,2869.7,5184.5,5187.0,5182.6,24088.7,24058.8,6226.7,6225.1,697.8,697.5,697.7,1561.3,1561.3,1561.6,2671.3,2671.2,2671.4,1561.7,1561.4,1562.7,10748.9,10746.0,12.330000,27.410000
